iter	RMSE
0	230799.4216
1	227279.5558
2	223813.0465
3	220403.5
4	217045.9381
5	214860.75
6	211588.3948
7	208369.0738
8	205200.6112
9	202074.0693
10	199002.7574
11	195978.0801
12	192992.1447
13	190052.3323
14	189858.2072
15	186975.0266
16	184137.4745
17	181343.4352
18	178592.8259
19	175884.862
20	173216.8423
21	171128.6481
22	168535.6938
23	165980.8577
24	163467.3666
25	160990.152
26	158554.536
27	156156.9259
28	155638.6456
29	153282.8609
30	151441.1647
31	149151.9909
32	146902.2514
33	144686.2843
34	142503.2854
35	140355.4522
36	138234.9664
37	136577.6669
38	134520.9862
39	132498.2347
40	131368.9217
41	129396.0383
42	128118.2456
43	126195.1569
44	124298.3524
45	122434.398
46	120596.1883
47	120580.8026
48	118774.3104
49	117362.9996
50	115967.2524
51	114232.3789
52	112526.2303
53	111190.8718
54	111121.3421
55	109464.9162
56	107823.3364
57	106216.6985
58	105933.7888
59	104356.9563
60	104334.9599
61	102771.2619
62	101233.0135
63	99725.71626
64	99621.63293
65	98780.92699
66	98711.69014
67	97929.40612
68	96469.02127
69	95029.93786
70	93616.66233
71	93555.22682
72	92171.76106
73	92130.05383
74	91231.35978
75	90499.86136
76	90476.05835
77	89887.43767
78	88560.6038
79	88527.51038
80	87221.39478
81	87205.55931
82	86551.86942
83	86028.02004
84	84763.14568
85	84545.92553
86	83300.59501
87	82708.43329
88	82680.21627
89	81464.98342
90	80273.08145
91	79863.2419
92	79858.05836
93	78689.69937
94	78661.08399
95	78645.26218
96	77494.53918
97	77485.65605
98	76351.82965
99	75238.74472
100	75078.87081
101	73978.40096
102	72895.73585
103	72857.37442
104	72838.37442
105	71772.40453
106	70728.5381
107	69710.53426
108	68703.10501
109	67957.44424
110	66976.37345
111	66897.36513
112	66891.27417
113	65924.80828
114	64971.14987
115	64518.73573
116	63591.49182
117	62688.53532
118	61783.75837
119	61778.89246
120	60901.46722
121	60022.12668
122	59164.50215
123	59139.43721
124	59120.47416
125	59106.18267
126	58265.70643
127	58238.38721
128	57828.13475
129	57011.65429
130	56958.37394
131	56150.90077
132	56145.87281
133	56128.74338
134	55823.45179
135	55385.73809
136	54609.83682
137	54602.34884
138	54587.50776
139	54557.73938
140	53790.57198
141	53695.29037
142	53158.3938
143	53145.95523
144	52409.71915
145	52384.4668
146	52379.37386
147	51651.00303
148	50933.75873
149	50226.78868
150	49532.69421
151	48849.88608
152	48173.81111
153	47508.37955
154	46862.83207
155	46230.40514
156	46216.45897
157	45714.67234
158	45710.43636
159	45094.52662
160	44491.98252
161	44404.37889
162	44374.16542
163	44370.37152
164	43769.43383
165	43763.20629
166	43172.71834
167	42593.20104
168	42024.9803
169	41471.38316
170	41462.86573
171	40914.00679
172	40846.37221
173	40812.81477
174	40278.32247
175	40217.8315
176	39688.83477
177	39681.7838
178	39162.5
179	38650.87997
180	38416.0504
181	37918.63963
182	37430.40123
183	36954.2692
184	36484.27923
185	36024.29599
186	35570.85146
187	35562.5823
188	35118.19757
189	34682.76482
190	34255.50024
191	34127.86521
192	33709.90384
193	33301.28361
194	33283.2901
195	32880.17491
196	32485.86758
197	32097.57688
198	32058.34924
199	31675.4924
200	31301.56658
201	30934.83122
202	30573.90728
203	30543.97267
204	30536.76247
205	30528.53406
206	30519.07022
207	30492.37151
208	30138.45681
209	30118.88416
210	29770.67171
211	29429.77587
212	29420.88773
213	29408.57895
214	29074.10785
215	28746.18115
216	28715.30727
217	28394.19
218	28377.68948
219	28061.79088
220	28059.12474
221	27750.65675
222	27744.60469
223	27720.64919
224	27652.385
225	27346.01138
226	27343.55892
227	27328.04441
228	27325.77466
229	27323.55914
230	27312.46003
231	27017.30836
232	26727.78126
233	26675.34471
234	26673.25245
235	26655.69416
236	26623.13938
237	26338.29417
238	26333.32954
239	26053.06885
240	25779.51161
241	25774.67664
242	25505.36894
243	25241.09599
244	25173.96748
245	25160.49372
246	24985.45281
247	24983.62219
248	24979.2985
249	24723.11437
250	24692.76177
251	24666.33088
252	24642.86091
253	24638.52471
254	24622.33432
255	24367.79391
256	24364.8197
257	24340.79879
258	24329.88982
259	24083.26267
260	23844.33668
261	23818.22969
262	23811.28256
263	23575.27537
264	23541.25276
265	23310.8422
266	23203.18645
267	23199.37668
268	23178.10512
269	23169.47779
270	23153.00437
271	23138.54688
272	22916.57437
273	22697.10037
274	22685.55972
275	22663.99908
276	22448.91423
277	22238.46277
278	22215.88908
279	22012.06144
280	21811.66041
281	21613.8753
282	21593.96632
283	21585.04936
284	21391.35174
285	21201.91948
286	21192.98081
287	21174.52467
288	20989.05362
289	20970.82744
290	20789.29594
291	20613.82491
292	20440.08405
293	20271.70701
294	20236.20603
295	20221.65542
296	20053.38563
297	19890.67497
