iter	Passed	Remaining
0	185	185548
1	198	99292
2	212	70575
3	224	55792
4	233	46556
5	241	39965
6	248	35281
7	256	31795
8	261	28793
9	267	26439
10	271	24452
11	276	22775
12	282	21448
13	288	20319
14	293	19252
15	298	18346
16	307	17759
17	312	17073
18	319	16487
19	325	15955
20	331	15471
21	342	15206
22	350	14877
23	355	14457
24	361	14104
25	369	13826
26	375	13523
27	381	13245
28	388	12997
29	394	12745
30	401	12554
31	407	12324
32	413	12107
33	419	11909
34	425	11722
35	431	11552
36	437	11390
37	443	11236
38	449	11083
39	455	10937
40	466	10920
41	473	10792
42	479	10680
43	486	10564
44	492	10452
45	500	10371
46	506	10261
47	512	10173
48	519	10074
49	526	10008
50	533	9922
51	539	9841
52	547	9784
53	553	9695
54	559	9619
55	566	9546
56	572	9466
57	577	9382
58	583	9307
59	591	9267
60	597	9192
61	602	9115
62	608	9055
63	614	8991
64	621	8938
65	627	8875
66	632	8812
67	639	8763
68	644	8701
69	651	8650
70	656	8595
71	662	8544
72	668	8493
73	675	8457
74	682	8421
75	689	8377
76	695	8333
77	700	8282
78	706	8237
79	714	8211
80	720	8170
81	726	8129
82	732	8093
83	738	8049
84	744	8014
85	751	7984
86	756	7938
87	761	7893
88	767	7858
89	774	7827
90	778	7781
91	785	7747
92	791	7716
93	797	7682
94	804	7666
95	812	7648
96	820	7637
97	826	7607
98	834	7597
99	843	7588
100	851	7581
101	860	7571
102	869	7570
103	875	7545
104	881	7509
105	886	7480
106	892	7452
107	899	7432
108	905	7404
109	911	7376
110	917	7351
111	924	7331
112	929	7294
113	934	7264
114	940	7237
115	946	7211
116	951	7183
117	957	7159
118	963	7134
119	970	7118
120	976	7094
121	983	7077
122	990	7062
123	998	7053
124	1006	7047
125	1014	7039
126	1022	7031
127	1031	7024
128	1039	7017
129	1045	6995
130	1050	6965
131	1056	6944
132	1061	6917
133	1067	6898
134	1073	6879
135	1079	6859
136	1085	6839
137	1091	6818
138	1097	6799
139	1103	6779
140	1111	6769
141	1117	6750
142	1123	6736
143	1129	6716
144	1135	6698
145	1143	6687
146	1149	6669
147	1155	6652
148	1162	6639
149	1169	6628
150	1177	6622
151	1185	6615
152	1194	6611
153	1201	6603
154	1210	6596
155	1216	6581
156	1221	6557
157	1226	6538
158	1233	6523
159	1239	6505
160	1244	6486
161	1250	6468
162	1256	6453
163	1262	6435
164	1268	6418
165	1273	6400
166	1279	6383
167	1284	6363
168	1291	6352
169	1296	6331
170	1302	6315
171	1308	6296
172	1313	6279
173	1319	6261
174	1324	6244
175	1330	6230
176	1336	6214
177	1343	6205
178	1351	6197
179	1359	6192
180	1366	6184
181	1373	6174
182	1381	6168
183	1387	6154
184	1393	6137
185	1398	6121
186	1404	6106
187	1411	6094
188	1416	6079
189	1422	6063
190	1428	6051
191	1434	6037
192	1440	6025
193	1445	6006
194	1451	5990
195	1456	5974
196	1461	5958
197	1468	5947
198	1473	5931
199	1478	5914
200	1484	5903
201	1491	5891
202	1497	5877
203	1504	5869
204	1510	5858
205	1516	5845
206	1524	5840
207	1532	5835
208	1540	5829
209	1546	5817
210	1551	5801
211	1557	5787
212	1562	5772
213	1567	5758
214	1573	5746
215	1578	5730
216	1585	5722
217	1591	5709
218	1597	5695
219	1602	5680
220	1607	5667
221	1613	5656
222	1618	5640
223	1625	5631
224	1631	5618
225	1636	5606
226	1642	5592
227	1648	5583
228	1654	5569
229	1659	5556
230	1665	5543
231	1670	5530
232	1677	5520
233	1684	5514
234	1691	5506
235	1698	5500
236	1706	5493
237	1714	5487
238	1721	5482
239	1727	5471
240	1732	5457
241	1738	5445
242	1744	5433
243	1749	5421
244	1755	5410
245	1761	5398
246	1766	5386
247	1772	5373
248	1777	5361
249	1783	5350
250	1789	5341
251	1796	5332
252	1801	5319
253	1807	5308
254	1813	5297
255	1819	5287
256	1825	5278
257	1831	5267
258	1836	5255
259	1841	5242
260	1847	5231
261	1853	5221
262	1859	5211
263	1868	5209
264	1875	5203
265	1882	5194
266	1890	5191
267	1898	5185
268	1903	5174
269	1909	5163
270	1915	5152
271	1921	5143
272	1928	5135
273	1933	5123
274	1939	5112
275	1946	5104
276	1951	5093
277	1957	5083
278	1964	5075
279	1968	5062
280	1973	5049
281	1978	5038
282	1984	5028
283	1990	5018
284	1996	5007
285	2001	4997
286	2008	4989
287	2014	4979
288	2020	4971
289	2028	4965
290	2034	4956
291	2041	4949
292	2048	4942
293	2055	4936
294	2063	4931
295	2069	4922
296	2074	4911
297	2080	4901
298	2086	4892
299	2092	4882
300	2097	4871
301	2103	4862
302	2109	4851
303	2114	4840
304	2119	4829
305	2125	4820
306	2131	4810
307	2135	4798
308	2142	4790
309	2147	4779
310	2152	4768
311	2158	4759
312	2163	4748
313	2169	4739
314	2175	4731
315	2181	4722
316	2187	4712
317	2193	4703
318	2198	4692
319	2203	4682
320	2209	4673
321	2214	4662
322	2220	4653
323	2226	4644
324	2233	4637
325	2239	4629
326	2244	4618
327	2250	4611
328	2257	4604
329	2263	4596
330	2268	4585
331	2274	4576
332	2280	4567
333	2286	4559
334	2293	4552
335	2298	4541
336	2304	4533
337	2310	4524
338	2315	4515
339	2321	4506
340	2327	4498
341	2332	4488
342	2337	4477
343	2342	4466
344	2348	4459
345	2354	4450
346	2360	4441
347	2364	4430
348	2370	4422
349	2377	4414
350	2384	4408
351	2391	4401
352	2397	4394
353	2405	4389
354	2411	4381
355	2416	4370
356	2421	4361
357	2428	4354
358	2432	4343
359	2439	4336
360	2445	4327
361	2450	4319
362	2456	4310
363	2462	4301
364	2467	4293
365	2472	4283
366	2478	4274
367	2483	4264
368	2489	4256
369	2494	4247
370	2500	4239
371	2505	4229
372	2510	4220
373	2515	4211
374	2521	4201
375	2526	4193
376	2532	4185
377	2538	4176
378	2544	4169
379	2550	4160
380	2557	4155
381	2565	4149
382	2571	4142
383	2579	4137
384	2585	4129
385	2589	4119
386	2595	4110
387	2601	4102
388	2606	4094
389	2612	4086
390	2619	4079
391	2624	4070
392	2630	4062
393	2636	4054
394	2642	4047
395	2648	4039
396	2654	4031
397	2659	4022
398	2665	4015
399	2671	4006
400	2677	4000
401	2684	3992
402	2690	3985
403	2695	3976
404	2701	3968
405	2706	3960
406	2712	3952
407	2718	3944
408	2724	3936
409	2730	3928
410	2736	3921
411	2743	3914
412	2749	3908
413	2755	3900
414	2761	3892
415	2767	3884
416	2772	3875
417	2778	3867
418	2784	3861
419	2789	3852
420	2795	3844
421	2801	3836
422	2807	3829
423	2813	3821
424	2818	3813
425	2824	3805
426	2829	3797
427	2835	3789
428	2841	3781
429	2846	3772
430	2852	3766
431	2858	3759
432	2864	3750
433	2869	3742
434	2875	3734
435	2879	3725
436	2885	3717
437	2890	3709
438	2898	3704
439	2904	3697
440	2912	3691
441	2919	3685
442	2926	3679
443	2931	3670
444	2936	3662
445	2943	3656
446	2948	3647
447	2953	3639
448	2959	3632
449	2964	3623
450	2970	3615
451	2975	3607
452	2981	3600
453	2987	3592
454	2992	3584
455	2997	3576
456	3004	3569
457	3009	3561
458	3014	3553
459	3021	3546
460	3027	3539
461	3032	3531
462	3039	3524
463	3045	3517
464	3052	3511
465	3058	3505
466	3063	3496
467	3069	3489
468	3075	3482
469	3082	3475
470	3089	3469
471	3095	3462
472	3100	3454
473	3106	3447
474	3112	3440
475	3118	3433
476	3124	3425
477	3130	3418
478	3135	3410
479	3141	3402
480	3146	3395
481	3153	3389
482	3159	3382
483	3164	3374
484	3170	3367
485	3175	3358
486	3180	3350
487	3186	3342
488	3191	3335
489	3197	3328
490	3204	3321
491	3210	3314
492	3215	3307
493	3220	3298
494	3226	3291
495	3231	3283
496	3236	3275
497	3241	3268
498	3247	3260
499	3253	3253
500	3260	3247
501	3267	3241
502	3273	3234
503	3279	3227
504	3284	3219
505	3290	3212
506	3296	3205
507	3301	3197
508	3307	3190
509	3312	3182
510	3318	3175
511	3323	3167
512	3329	3160
513	3335	3153
514	3339	3145
515	3345	3137
516	3350	3130
517	3356	3122
518	3361	3115
519	3366	3107
520	3371	3099
521	3376	3092
522	3382	3085
523	3388	3077
524	3394	3071
525	3400	3063
526	3406	3057
527	3411	3049
528	3417	3042
529	3421	3034
530	3427	3027
531	3432	3019
532	3440	3014
533	3446	3007
534	3453	3001
535	3458	2994
536	3463	2986
537	3469	2978
538	3475	2972
539	3480	2965
540	3486	2957
541	3492	2950
542	3497	2943
543	3503	2936
544	3509	2929
545	3515	2923
546	3521	2916
547	3527	2909
548	3531	2901
549	3536	2893
550	3542	2886
551	3548	2879
552	3553	2872
553	3560	2866
554	3566	2859
555	3571	2852
556	3577	2845
557	3582	2838
558	3588	2830
559	3593	2823
560	3600	2817
561	3606	2810
562	3613	2804
563	3620	2798
564	3626	2791
565	3631	2784
566	3638	2778
567	3643	2771
568	3649	2764
569	3655	2757
570	3661	2751
571	3667	2744
572	3672	2736
573	3678	2729
574	3683	2722
575	3689	2715
576	3695	2709
577	3701	2702
578	3705	2694
579	3711	2687
580	3717	2680
581	3722	2673
582	3728	2667
583	3734	2660
584	3740	2653
585	3746	2646
586	3752	2639
587	3758	2633
588	3764	2626
589	3771	2620
590	3778	2614
591	3784	2608
592	3790	2601
593	3796	2594
594	3802	2588
595	3808	2581
596	3814	2574
597	3820	2567
598	3826	2561
599	3831	2554
600	3838	2548
601	3843	2541
602	3849	2534
603	3857	2529
604	3864	2523
605	3872	2517
606	3877	2510
607	3882	2503
608	3889	2496
609	3899	2493
610	3905	2486
611	3911	2480
612	3917	2473
613	3923	2466
614	3930	2460
615	3937	2454
616	3943	2448
617	3949	2441
618	3955	2434
619	3963	2429
620	3969	2422
621	3976	2416
622	3982	2409
623	3987	2402
624	3994	2396
625	4000	2390
626	4006	2383
627	4013	2377
628	4020	2371
629	4026	2364
630	4032	2358
631	4038	2351
632	4044	2344
633	4051	2338
634	4057	2332
635	4062	2325
636	4068	2318
637	4074	2311
638	4080	2305
639	4087	2299
640	4093	2292
641	4098	2285
642	4104	2278
643	4109	2271
644	4117	2266
645	4123	2259
646	4129	2252
647	4134	2246
648	4141	2239
649	4148	2233
650	4155	2227
651	4160	2220
652	4164	2213
653	4170	2206
654	4176	2199
655	4183	2193
656	4189	2187
657	4195	2180
658	4200	2173
659	4206	2166
660	4212	2160
661	4219	2154
662	4225	2147
663	4231	2141
664	4237	2134
665	4243	2128
666	4249	2121
667	4254	2114
668	4260	2107
669	4265	2101
670	4271	2094
671	4277	2087
672	4282	2080
673	4288	2074
674	4294	2067
675	4301	2061
676	4307	2055
677	4313	2048
678	4318	2041
679	4324	2035
680	4330	2028
681	4336	2022
682	4342	2015
683	4347	2008
684	4353	2001
685	4358	1995
686	4365	1988
687	4370	1981
688	4376	1975
689	4381	1968
690	4387	1962
691	4393	1955
692	4398	1948
693	4404	1942
694	4410	1935
695	4416	1928
696	4422	1922
697	4428	1915
698	4433	1909
699	4439	1902
700	4445	1896
701	4451	1889
702	4457	1883
703	4463	1876
704	4469	1870
705	4476	1863
706	4482	1857
707	4488	1851
708	4494	1844
709	4501	1838
710	4506	1831
711	4513	1825
712	4519	1819
713	4526	1812
714	4531	1806
715	4537	1799
716	4542	1793
717	4549	1786
718	4554	1780
719	4560	1773
720	4566	1767
721	4573	1760
722	4578	1753
723	4584	1747
724	4588	1740
725	4594	1734
726	4600	1727
727	4605	1720
728	4611	1714
729	4617	1707
730	4623	1701
731	4629	1694
732	4637	1689
733	4643	1682
734	4648	1675
735	4654	1669
736	4659	1662
737	4664	1656
738	4670	1649
739	4676	1643
740	4682	1636
741	4689	1630
742	4695	1624
743	4702	1618
744	4708	1611
745	4714	1605
746	4720	1598
747	4725	1592
748	4731	1585
749	4737	1579
750	4743	1572
751	4749	1566
752	4756	1560
753	4762	1553
754	4768	1547
755	4773	1540
756	4779	1534
757	4785	1527
758	4791	1521
759	4798	1515
760	4804	1508
761	4809	1502
762	4815	1495
763	4821	1489
764	4826	1482
765	4831	1476
766	4837	1469
767	4842	1462
768	4847	1456
769	4853	1449
770	4859	1443
771	4866	1437
772	4871	1430
773	4878	1424
774	4884	1417
775	4890	1411
776	4895	1405
777	4902	1398
778	4908	1392
779	4914	1386
780	4921	1379
781	4926	1373
782	4932	1366
783	4938	1360
784	4944	1354
785	4951	1348
786	4956	1341
787	4963	1335
788	4969	1328
789	4975	1322
790	4981	1316
791	4988	1310
792	4994	1303
793	4999	1296
794	5004	1290
795	5010	1284
796	5016	1277
797	5021	1271
798	5028	1265
799	5035	1258
800	5040	1252
801	5047	1246
802	5054	1239
803	5059	1233
804	5066	1227
805	5071	1220
806	5077	1214
807	5084	1208
808	5090	1201
809	5096	1195
810	5103	1189
811	5109	1182
812	5115	1176
813	5120	1170
814	5126	1163
815	5132	1157
816	5139	1151
817	5145	1144
818	5151	1138
819	5157	1132
820	5163	1125
821	5169	1119
822	5175	1113
823	5180	1106
824	5186	1100
825	5192	1093
826	5199	1087
827	5205	1081
828	5212	1075
829	5218	1068
830	5224	1062
831	5230	1056
832	5236	1049
833	5241	1043
834	5247	1036
835	5254	1030
836	5259	1024
837	5266	1018
838	5271	1011
839	5277	1005
840	5283	998
841	5288	992
842	5294	986
843	5300	979
844	5305	973
845	5311	966
846	5317	960
847	5323	954
848	5329	947
849	5335	941
850	5341	935
851	5347	928
852	5353	922
853	5359	916
854	5365	909
855	5372	903
856	5378	897
857	5384	891
858	5389	884
859	5396	878
860	5401	872
861	5407	865
862	5413	859
863	5421	853
864	5427	847
865	5433	840
866	5439	834
867	5445	828
868	5455	822
869	5462	816
870	5467	809
871	5473	803
872	5479	797
873	5486	791
874	5492	784
875	5498	778
876	5504	772
877	5510	765
878	5517	759
879	5523	753
880	5529	746
881	5535	740
882	5541	734
883	5549	728
884	5554	721
885	5561	715
886	5568	709
887	5574	703
888	5581	696
889	5587	690
890	5593	684
891	5599	678
892	5605	671
893	5611	665
894	5618	659
895	5624	652
896	5630	646
897	5636	640
898	5644	634
899	5650	627
900	5656	621
901	5663	615
902	5670	609
903	5676	602
904	5682	596
905	5688	590
906	5694	583
907	5701	577
908	5707	571
909	5713	565
910	5719	558
911	5726	552
912	5732	546
913	5738	539
914	5744	533
915	5751	527
916	5758	521
917	5767	515
918	5774	508
919	5781	502
920	5786	496
921	5793	490
922	5799	483
923	5805	477
924	5811	471
925	5818	464
926	5824	458
927	5832	452
928	5838	446
929	5844	439
930	5850	433
931	5857	427
932	5863	421
933	5869	414
934	5875	408
935	5882	402
936	5888	395
937	5894	389
938	5900	383
939	5907	377
940	5914	370
941	5924	364
942	5930	358
943	5937	352
944	5943	345
945	5950	339
946	5956	333
947	5962	327
948	5968	320
949	5975	314
950	5984	308
951	5990	302
952	5996	295
953	6003	289
954	6009	283
955	6018	276
956	6024	270
957	6029	264
958	6036	258
959	6042	251
960	6051	245
961	6057	239
962	6063	232
963	6069	226
964	6076	220
965	6086	214
966	6092	207
967	6099	201
968	6105	195
969	6111	189
970	6117	182
971	6123	176
972	6129	170
973	6135	163
974	6140	157
975	6147	151
976	6153	144
977	6160	138
978	6166	132
979	6173	125
980	6179	119
981	6185	113
982	6192	107
983	6197	100
984	6204	94
985	6210	88
986	6217	81
987	6222	75
988	6228	69
989	6236	62
990	6242	56
991	6249	50
992	6255	44
993	6261	37
994	6268	31
995	6274	25
996	6280	18
997	6288	12
998	6294	6
999	6307	0
